90,125
92,500
102,169
92,243
114,500
125,142
108,134
93,87
93,105
93,108
89,99
85,97
94,124
94,198
93,105
87,114
91,500
98,195
99,108
91,276
130,145
86,112
88,95
90,177
85,168
91,500
93,92
92,106
94,145
107,106
96,147
88,95
102,115
97,500
99,102
111,144
90,500
90,115
94,115
106,182
94,129
93,96
97,98
108,112
88,100
95,165
98,132
108,118
88,133
87,126
89,92
100,91
109,164
102,115
114,500
95,94
110,94
102,143
103,117
98,91
91,94
107,87
103,120
93,187
94,135
88,133
89,136
108,100
102,99
102,102
111,103
90,106
106,106
89,124
88,132
129,99
98,98
94,119
86,113
92,500
93,103
126,104
111,152
98,107
101,218
112,500
95,136
89,106
93,117
103,112
90,294
91,144
94,149
100,106
91,114
98,96
92,122
87,91
85,131
91,113
,
,
,
,
 , 
