1, cat,301,1.053383, ,,,1,1.053383,,1,301
21, cat,485,0.9853848, ,,,21,0.9853848,,21,485
41, cat,500,0.9858868, ,,,41,0.9858868,,41,500
61, cat,500,0.9858868, ,,,61,0.9858868,,61,500
81, cat,117,2.293891, ,,,81,2.293891,,81,117
101, cat,53,3.823907, ,,,101,3.823907,,101,53
121, cat,139,2.631327, ,,,121,2.631327,,121,139
141, cat,363,1.817002, ,,,141,1.817002,,141,363
161, cat,493,1.595025, ,,,161,1.595025,,161,493
181, cat,497,1.560612, ,,,181,1.560612,,181,497
201, cat,487,1.697271, ,,,201,1.697271,,201,487
221, cat,495,1.80753, ,,,221,1.80753,,221,495
241, cat,486,1.829303, ,,,241,1.829303,,241,486
261, cat,493,1.783102, ,,,261,1.783102,,261,493
281, cat,488,1.79955, ,,,281,1.79955,,281,488
301, cat,496,1.777789, ,,,301,1.777789,,301,496
321, cat,495,1.765042, ,,,321,1.765042,,321,495
341, cat,497,1.738856, ,,,341,1.738856,,341,497
361, cat,496,1.74227, ,,,361,1.74227,,361,496
381, cat,499,1.734724, ,,,381,1.734724,,381,499
401, cat,497,1.745995, ,,,401,1.745995,,401,497
421, cat,499,1.741734, ,,,421,1.741734,,421,499
441, cat,499,1.724805, ,,,441,1.724805,,441,499
461, cat,500,1.713259, ,,,461,1.713259,,461,500
481, cat,499,1.71579, ,,,481,1.71579,,481,499
501, cat,499,1.706644, ,,,501,1.706644,,501,499
521, cat,498,1.701628, ,,,521,1.701628,,521,498
541, cat,500,1.694961, ,,,541,1.694961,,541,500
561, cat,498,1.693982, ,,,561,1.693982,,561,498
581, cat,499,1.692883, ,,,581,1.692883,,581,499
601, cat,499,1.6809, ,,,601,1.6809,,601,499
621, cat,500,1.665112, ,,,621,1.665112,,621,500
641, cat,496,1.650891, ,,,641,1.650891,,641,496
661, cat,499,1.63235, ,,,661,1.63235,,661,499
681, cat,497,1.621084, ,,,681,1.621084,,681,497
701, cat,500,1.601566, ,,,701,1.601566,,701,500
721, cat,500,1.596768, ,,,721,1.596768,,721,500
741, cat,500,1.585939, ,,,741,1.585939,,741,500
761, cat,499,1.578673, ,,,761,1.578673,,761,499
781, cat,498,1.581229, ,,,781,1.581229,,781,498
801, cat,498,1.581691, ,,,801,1.581691,,801,498
821, cat,500,1.579129, ,,,821,1.579129,,821,500
841, cat,500,1.56961, ,,,841,1.56961,,841,500
861, cat,499,1.573713, ,,,861,1.573713,,861,499
881, cat,500,1.568938, ,,,881,1.568938,,881,500
901, cat,499,1.571457, ,,,901,1.571457,,901,499
