108,149
113,101
106,113
94,98
86,131
87,108
88,3000
125,3000
126,3000
99,125
94,115
92,113
96,156
85,139
90,95
90,150
89,117
97,182
101,103
85,98
96,110
87,103
96,99
99,151
87,105
111,91
98,133
98,122
113,109
84,215
87,89
90,102
98,114
98,113
89,128
88,465
121,130
108,152
92,111
100,108
128,99
137,96
88,128
119,98
170,103
97,112
107,108
134,89
94,167
118,105
88,222
96,101
88,89
106,3000
93,102
102,113
103,106
87,134
93,104
96,102
90,108
100,99
91,327
90,89
99,92
87,94
92,112
94,138
92,145
93,136
113,89
119,97
105,206
90,117
88,107
95,90
83,109
97,101
92,98
87,97
98,101
119,110
91,129
112,138
89,221
91,103
90,96
98,118
96,117
91,98
89,99
100,115
129,115
96,110
104,3000
145,252
91,93
114,251
97,111
88,130
,
,
,
,
 , 
